ams,pams,slps,probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj,ams_quantile,pams_quantile,slps_quantile,am_bin,pa_bin,slp_bin
1.643549943890685,0.009013568672403171,1.144948580463622,1.0,0.7207,1,2,2,1,1,1,1,sub-STSWD1135,4th,3rd,4th,1.3049013227641468,0.30675450470793614,1.1331065517624739
-0.5123390625400178,1.8689579782070753,1.2587721329334352,0.0,0.46772,3,2,1,1,1,1,1,sub-STSWD1135,2nd,4th,4th,-0.3975292985420119,1.2634880918467066,1.1331065517624739
-0.9387395228693388,0.02944909977206627,1.2875674011984413,1.0,0.37166,3,2,2,1,1,1,1,sub-STSWD1135,1st,3rd,4th,-1.2193429435686407,0.30675450470793614,1.1331065517624739
0.3572689906775469,-0.6220537251995886,1.210450465619515,1.0,0.66459,1,2,1,1,1,1,1,sub-STSWD1135,3rd,2nd,4th,0.31061284983546605,-0.34398265603282646,1.1331065517624739
-1.203982780677669,-1.0534329230730994,1.1359739652089456,1.0,0.38252,1,2,1,1,1,1,1,sub-STSWD1135,1st,1st,4th,-1.2193429435686407,-1.2268416303862681,1.1331065517624739
1.837646468354335,0.897242628890379,0.8698200660058142,1.0,0.67556,3,2,2,1,1,1,1,sub-STSWD1135,4th,4th,3rd,1.3049013227641468,1.2634880918467066,0.5142567291249344
0.15038208179514118,2.0026059333889106,0.9347712928527301,0.0,0.6073,3,2,1,1,1,1,1,sub-STSWD1135,3rd,4th,3rd,0.31061284983546605,1.2634880918467066,0.5142567291249344
-1.294391780385111,0.7377619016095261,1.0040822808564076,1.0,0.49233,1,2,1,1,1,1,1,sub-STSWD1135,1st,4th,4th,-1.2193429435686407,1.2634880918467066,1.1331065517624739
0.879889357319447,0.7485100613305784,1.0427204118775002,1.0,0.49921,2,4,2,1,1,1,1,sub-STSWD1135,4th,4th,4th,1.3049013227641468,1.2634880918467066,1.1331065517624739
-0.7946048560849212,-0.24095109884705004,0.9549621736095303,1.0,0.76736,2,4,2,1,1,1,1,sub-STSWD1135,1st,2nd,3rd,-1.2193429435686407,-0.34398265603282646,0.5142567291249344
0.3755250837085609,-1.4318481207483453,0.911116208408926,1.0,0.67708,1,4,2,1,1,1,1,sub-STSWD1135,3rd,1st,3rd,0.31061284983546605,-1.2268416303862681,0.5142567291249344
0.9494564328848883,-0.9319559622017092,1.0039530675494492,1.0,0.58301,1,4,2,1,1,1,1,sub-STSWD1135,4th,1st,4th,1.3049013227641468,-1.2268416303862681,1.1331065517624739
0.8761517075917014,-0.6516575071705066,0.8223646738072277,1.0,0.8809,3,4,1,1,1,1,1,sub-STSWD1135,4th,1st,3rd,1.3049013227641468,-1.2268416303862681,0.5142567291249344
0.6123617660895534,0.407152603937621,0.8955103445373398,1.0,0.48014,3,4,1,1,1,1,1,sub-STSWD1135,3rd,3rd,3rd,0.31061284983546605,0.30675450470793614,0.5142567291249344
0.38505627803004133,1.1387339206241376,0.7566385615329357,1.0,0.53883,4,4,1,1,1,1,1,sub-STSWD1135,3rd,4th,3rd,0.31061284983546605,1.2634880918467066,0.5142567291249344
0.3255590631018668,-2.0707844882633184,0.7698446421881444,1.0,0.98576,4,4,2,1,1,1,1,sub-STSWD1135,3rd,1st,3rd,0.31061284983546605,-1.2268416303862681,0.5142567291249344
-0.06694637375903695,0.21041194699825086,0.6485685204221288,1.0,0.91198,4,3,2,1,1,1,1,sub-STSWD1135,3rd,3rd,3rd,0.31061284983546605,0.30675450470793614,0.5142567291249344
-0.06897491851543637,-0.47088866517255656,0.5058476802090358,0.0,1.2106,2,3,2,1,1,1,1,sub-STSWD1135,3rd,2nd,3rd,0.31061284983546605,-0.34398265603282646,0.5142567291249344
1.573627767756082,0.012816762706296949,0.432225513918229,1.0,0.76681,4,3,2,1,1,1,1,sub-STSWD1135,4th,3rd,3rd,1.3049013227641468,0.30675450470793614,0.5142567291249344
0.9178325552081457,1.67634781984031,0.3633942416529873,1.0,0.60541,3,3,2,1,1,1,1,sub-STSWD1135,4th,4th,3rd,1.3049013227641468,1.2634880918467066,0.5142567291249344
2.0979457356978415,0.5243852861188983,0.35079371528527675,1.0,0.83935,3,3,2,1,1,1,1,sub-STSWD1135,4th,3rd,3rd,1.3049013227641468,0.30675450470793614,0.5142567291249344
-0.6294188667305735,-0.1752859556915595,0.3653921881415733,1.0,1.2193,2,3,2,1,1,1,1,sub-STSWD1135,2nd,2nd,3rd,-0.3975292985420119,-0.34398265603282646,0.5142567291249344
0.9783431212037432,1.1667683922169123,0.2712556229833285,1.0,1.198,2,3,1,1,1,1,1,sub-STSWD1135,4th,4th,3rd,1.3049013227641468,1.2634880918467066,0.5142567291249344
0.9516175272817557,1.5364768840471115,0.08711915374314767,1.0,0.63749,3,3,1,1,1,1,1,sub-STSWD1135,4th,4th,3rd,1.3049013227641468,1.2634880918467066,0.5142567291249344
0.7741850452943332,0.5151513574599793,-0.004928603284294358,1.0,0.35208,3,1,2,1,1,1,1,sub-STSWD1135,4th,3rd,2nd,1.3049013227641468,0.30675450470793614,-0.26259434170070495
0.5521350210895476,0.8677797779479437,0.12471424385784942,1.0,0.39027,3,1,2,1,1,1,1,sub-STSWD1135,3rd,4th,3rd,0.31061284983546605,1.2634880918467066,0.5142567291249344
-2.3252725132392134,0.27803383809799276,0.2396107648593565,1.0,0.31822,3,1,1,1,1,1,1,sub-STSWD1135,1st,3rd,3rd,-1.2193429435686407,0.30675450470793614,0.5142567291249344
0.2889178107011566,-0.5241706399808178,0.20062382604903067,1.0,0.44521,3,1,1,1,1,1,1,sub-STSWD1135,3rd,2nd,3rd,0.31061284983546605,-0.34398265603282646,0.5142567291249344
-0.5830553702659194,-0.26537456066123594,-0.04531818903630127,0.0,0.39316,3,1,1,1,1,1,1,sub-STSWD1135,2nd,2nd,2nd,-0.3975292985420119,-0.34398265603282646,-0.26259434170070495
-1.5985005003175867,-0.5331871772086051,0.00173136394028238,1.0,0.32291,3,1,2,1,1,1,1,sub-STSWD1135,1st,2nd,2nd,-1.2193429435686407,-0.34398265603282646,-0.26259434170070495
