probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
1,0.70883,3,3,2,1,1,1,1,sub-STSWD1216,-0.6882833813853598,-0.8186576187421678,-0.8907346176555891,1st,1st,2nd,-1.2450177071914317,-1.1240579115218812,-0.32633622575605753
0,1.0697,4,3,1,1,1,1,1,sub-STSWD1216,0.7494212929230188,-0.7782284708767147,-0.8113940034756231,4th,1st,2nd,1.1897887619703815,-1.1240579115218812,-0.32633622575605753
1,0.8897,3,3,1,1,1,1,1,sub-STSWD1216,1.6532744609995242,0.4436862757222652,-0.7097024734953888,4th,3rd,2nd,1.1897887619703815,0.24049706775089263,-0.32633622575605753
1,0.68162,3,3,2,1,1,1,1,sub-STSWD1216,-1.3185823634885734,-0.8453074783153434,-0.4125011393727101,1st,1st,2nd,-1.2450177071914317,-1.1240579115218812,-0.32633622575605753
1,0.69256,3,3,2,1,1,1,1,sub-STSWD1216,-0.5949109202105691,0.7785882207782194,-0.5979997715719338,2nd,4th,2nd,-0.2640363056093601,1.2150354947650404,-0.32633622575605753
1,0.49949,3,3,2,1,1,1,1,sub-STSWD1216,-0.28575462465070683,-0.15098439500973582,-0.8369213750966829,2nd,2nd,2nd,-0.2640363056093601,-0.3329187396169595,-0.32633622575605753
0,0.95143,2,3,1,1,1,1,1,sub-STSWD1216,-0.2494999831804537,-0.17074612948661588,-0.813257417081837,2nd,2nd,2nd,-0.2640363056093601,-0.3329187396169595,-0.32633622575605753
1,0.83347,4,4,1,1,1,1,1,sub-STSWD1216,0.6344383175045124,0.5454028930354412,-0.7257605573323441,4th,4th,2nd,1.1897887619703815,1.2150354947650404,-0.32633622575605753
0,1.0624,4,4,1,1,1,1,1,sub-STSWD1216,-2.7163819819164825,-2.3688383304587535,-0.7836825714252599,1st,1st,2nd,-1.2450177071914317,-1.1240579115218812,-0.32633622575605753
1,0.60138,2,4,1,1,1,1,1,sub-STSWD1216,0.25244227124318147,-0.45867710643399073,-0.6969454266761682,3rd,2nd,2nd,0.320141900754554,-0.3329187396169595,-0.32633622575605753
1,0.89232,3,4,2,1,1,1,1,sub-STSWD1216,0.9705722808956958,0.01191193762959748,-0.08656313263797412,4th,3rd,2nd,1.1897887619703815,0.24049706775089263,-0.32633622575605753
1,0.61317,2,4,1,1,1,1,1,sub-STSWD1216,0.7682583363031633,-1.518696394521853,-0.19070358999653939,4th,1st,2nd,1.1897887619703815,-1.1240579115218812,-0.32633622575605753
1,0.6691,1,4,1,1,1,1,1,sub-STSWD1216,-0.3462708956107885,-1.7258485798118144,-0.2500588478453903,2nd,1st,2nd,-0.2640363056093601,-1.1240579115218812,-0.32633622575605753
0,0.74895,3,1,1,1,1,1,1,sub-STSWD1216,-0.3058857808186256,2.8764011978632067,-0.07118405929240114,2nd,4th,2nd,-0.2640363056093601,1.2150354947650404,-0.32633622575605753
1,0.25993,3,1,1,1,1,1,1,sub-STSWD1216,-1.5006961185039924,1.8685238219681113,0.2300579871585577,1st,4th,3rd,-1.2450177071914317,1.2150354947650404,0.5458885805074755
1,0.27686,3,1,2,1,1,1,1,sub-STSWD1216,0.65246569773863,-0.38064758104241675,0.1646569495188479,4th,2nd,2nd,1.1897887619703815,-0.3329187396169595,-0.32633622575605753
1,0.25474,3,1,1,1,1,1,1,sub-STSWD1216,0.9812973232661649,0.4663433705487954,0.04116528456693859,4th,3rd,2nd,1.1897887619703815,0.24049706775089263,-0.32633622575605753
1,0.22173,3,1,2,1,1,1,1,sub-STSWD1216,0.4955507695383266,0.19325742586874675,0.1158840991214093,3rd,3rd,2nd,0.320141900754554,0.24049706775089263,-0.32633622575605753
