,v_pam_bin
599,-0.0009170087671213494
600,-0.00081769911928042
601,-0.0002303231254112809
602,0.0007444941521936959
603,0.0004662190119168237
604,0.0008257496864680219
605,5.27387091326971e-05
606,0.00026916074479250567
607,0.0002129896760837537
608,0.00037504063641359043
609,0.0012050049441309336
610,0.0009119050121640839
611,0.00022262467798706996
612,0.0003690480771195845
613,0.00038931798478948696
614,-0.00015323086632211964
615,-0.0005967280872423844
616,-0.0007413405669683419
617,-0.001559025939753877
618,-0.0018540123301378528
619,-0.002025888091814365
620,-0.0024904477592401263
621,-0.003183643042063053
622,-0.0030036869304913526
623,-0.003974446391745681
624,-0.0038397695516340685
625,-0.004891683531900974
626,-0.004961633008740038
627,-0.005538340771962427
628,-0.0065344278238935495
629,-0.006902134211566062
630,-0.006899308029351
631,-0.006501518345720996
632,-0.007149851136117038
633,-0.007716254468382613
634,-0.007919470874593033
635,-0.0072953906255156815
636,-0.006947802402027561
637,-0.008655002721578212
638,-0.005894520601314828
639,-0.006249071066162547
640,-0.006417526923710628
641,-0.007808866037204461
642,-0.005738309958873053
643,-0.005994006778066202
644,-0.0044300835453265144
645,-0.0035644965039466348
646,-0.00268966219641395
647,-0.0022525699130049883
648,-0.0016849961271055876
649,-0.0009042148083277572
650,-0.0009118836841982434
651,-0.001229052713613973
652,-0.0011633884174946584
653,-0.0012058973114880008
654,-0.0012554857644709897
655,-0.0008788828810903737
656,-0.0010536791497634175
657,-0.0013010128797030752
658,-0.0013402154746302
659,-0.0012775145634451562
660,-0.0012518875508069076
661,-0.0012821706034622066
662,-0.0017435173600808722
663,-0.0013962576106684337
664,-0.001366377325638814
665,-0.000842580100685335
666,-0.0009156238193950089
667,-0.0011453409624922624
668,-0.0013647255819140326
669,-0.001313098143695783
670,-0.0012064032899172237
671,-0.0007969932398437604
672,-0.0010548079356071426
673,-0.0009997942795982547
674,-0.0007517437998739558
675,-0.0007706046438711973
676,-0.0007552340881390629
