subj_idx,condition,rt,response,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin,bin_id,ams_bin_cpp
sub-12,0.0,0.524939000140876,a,0.5441504927310339,-0.4112929010854247,0.6819202863195686,3rd,2nd,4th,0.3417435439474494,-0.3244618389738705,1.2385809550708111,640,0.5439685206781091
sub-12,1.0,0.342128700111061,a,0.5441755890192458,-1.8742953855192632,-1.0080132053919373,3rd,1st,1st,0.3417435439474494,-1.2741254795696326,-1.3061683226771343,640,0.5439685206781091
sub-17,0.0,0.448420399916358,a,0.5443878559572488,-1.7969536538455737,-0.7801959764003821,3rd,1st,1st,0.3114347021877382,-1.2240855161984534,-1.292218886761559,640,0.5439685206781091
sub-10,0.0,0.226071599987336,f,0.5446220953354226,-1.0072983921130678,-0.9311648263370024,3rd,1st,1st,0.3446517494260608,-1.2252036265343489,-1.234897725291273,640,0.5439685206781091
sub-20,0.0,0.0911053000018001,f,0.5450617588442218,0.1933435136467545,0.3625508796274881,3rd,3rd,3rd,0.538907348963851,0.3732420954056062,0.3415061287448191,640,0.5439685206781091
sub-17,0.0,0.485352899995632,a,0.5451269184491023,0.8719885328977593,1.2315811981746638,3rd,4th,4th,0.3114347021877382,1.237502210046722,1.2613149261362109,640,0.5439685206781091
sub-18,0.0,0.567978100036271,f,0.5451866347143127,-0.7739741534862038,1.292510662100124,3rd,1st,4th,0.4819890124616554,-1.30368509082108,1.3004980638498875,640,0.5439685206781091
sub-05,1.0,0.287025899975561,a,0.5452037061956809,0.0392286574150284,-0.2190553533915116,3rd,2nd,2nd,0.4536186193268918,-0.2479583081114959,-0.2101509656399988,640,0.5439685206781091
sub-17,0.0,0.482392499921843,a,0.5453053098798795,0.77482569054208,0.7279403425224938,3rd,4th,4th,0.3114347021877382,1.237502210046722,1.2613149261362109,641,0.547008437059967
sub-08,1.0,0.261296199983917,f,0.5457623111634354,-0.3246026672059375,1.6080021207593451,3rd,2nd,4th,0.303681113164678,-0.3446643977538662,1.203601748734519,641,0.547008437059967
sub-16,0.0,0.349950899952091,f,0.5458295792703638,0.9685106258932644,-0.6696807898965672,3rd,4th,1st,0.3418155237690443,1.3211933562540663,-1.296676604691821,641,0.547008437059967
sub-19,0.0,0.428653899929486,f,0.5459817024207276,1.2422933442083048,-1.1275162076063752,3rd,4th,1st,0.2876759003414911,1.208441219750038,-1.3139887258523006,641,0.547008437059967
sub-08,0.0,0.277741999947466,f,0.546043892893588,-0.1093037263235793,-0.6727260601645689,3rd,2nd,1st,0.303681113164678,-0.3446643977538662,-1.302612210370682,641,0.547008437059967
sub-15,0.0,0.422392699983902,f,0.5462159826822037,-0.0649552055030627,0.0525219480173437,3rd,2nd,3rd,0.4706203904159861,-0.1323354925524285,0.3089024228791431,641,0.547008437059967
sub-08,1.0,0.233197099994868,f,0.5462168689985444,-0.3541384231480981,-1.040398895899664,3rd,2nd,1st,0.303681113164678,-0.3446643977538662,-1.302612210370682,641,0.547008437059967
